codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
60001,PROD060001,NOM_PROD60001,DES_PROD60001,2,3,136,5,3247,0,2777,16.93,S,129,163,A
60002,PROD060002,NOM_PROD60002,DES_PROD60002,1,3,372,3,5358,0,4814,11.32,N,353,446,A
60003,PROD060003,NOM_PROD60003,DES_PROD60003,4,1,446,3,5155,0,4487,14.9,N,423,535,A
60004,PROD060004,NOM_PROD60004,DES_PROD60004,5,1,74,3,2165,0,1927,12.39,N,70,88,A
60005,PROD060005,NOM_PROD60005,DES_PROD60005,1,2,342,4,3570,0,3196,11.73,N,324,410,I
60006,PROD060006,NOM_PROD60006,DES_PROD60006,4,2,383,3,3994,0,3504,13.99,S,363,459,A
60007,PROD060007,NOM_PROD60007,DES_PROD60007,2,3,328,5,5169,0,4337,19.2,N,311,393,I
60008,PROD060008,NOM_PROD60008,DES_PROD60008,5,1,61,1,4815,0,4104,17.33,N,57,73,A
60009,PROD060009,NOM_PROD60009,DES_PROD60009,5,1,56,5,4111,0,3668,12.09,N,53,67,I
60010,PROD060010,NOM_PROD60010,DES_PROD60010,2,3,313,2,3831,0,3400,12.7,N,297,375,A
60011,PROD060011,NOM_PROD60011,DES_PROD60011,1,3,440,2,2576,0,2155,19.58,S,418,528,A
60012,PROD060012,NOM_PROD60012,DES_PROD60012,1,3,238,3,2594,0,2320,11.82,S,226,285,I
60013,PROD060013,NOM_PROD60013,DES_PROD60013,3,1,97,3,4543,0,3799,19.6,S,92,116,A
60014,PROD060014,NOM_PROD60014,DES_PROD60014,5,2,324,2,5340,0,4700,13.63,N,307,388,A
60015,PROD060015,NOM_PROD60015,DES_PROD60015,4,1,314,4,2476,0,2209,12.12,S,298,376,A
60016,PROD060016,NOM_PROD60016,DES_PROD60016,1,2,357,1,5592,0,4888,14.41,S,339,428,A
60017,PROD060017,NOM_PROD60017,DES_PROD60017,1,3,40,4,5101,0,4521,12.84,N,38,48,A
60018,PROD060018,NOM_PROD60018,DES_PROD60018,2,3,499,2,5044,0,4497,12.18,S,474,598,A
60019,PROD060019,NOM_PROD60019,DES_PROD60019,5,1,351,1,2397,0,2108,13.73,S,333,421,I
60020,PROD060020,NOM_PROD60020,DES_PROD60020,5,2,344,1,4403,0,3701,18.99,S,326,412,A
60021,PROD060021,NOM_PROD60021,DES_PROD60021,5,1,15,5,5168,0,4336,19.19,N,14,18,A
60022,PROD060022,NOM_PROD60022,DES_PROD60022,5,1,373,3,4763,0,4145,14.92,N,354,447,A
60023,PROD060023,NOM_PROD60023,DES_PROD60023,5,2,119,1,3113,0,2598,19.84,N,113,142,A
60024,PROD060024,NOM_PROD60024,DES_PROD60024,4,1,194,4,5600,0,4676,19.78,N,184,232,A
60025,PROD060025,NOM_PROD60025,DES_PROD60025,5,3,473,3,2783,0,2354,18.26,N,449,567,I
60026,PROD060026,NOM_PROD60026,DES_PROD60026,4,1,437,1,5398,0,4719,14.4,N,415,524,I
60027,PROD060027,NOM_PROD60027,DES_PROD60027,3,2,74,3,4411,0,3914,12.72,N,70,88,A
60028,PROD060028,NOM_PROD60028,DES_PROD60028,1,3,454,1,2297,0,2079,10.53,S,431,544,A
60029,PROD060029,NOM_PROD60029,DES_PROD60029,1,1,499,3,2622,0,2347,11.72,S,474,598,I
60030,PROD060030,NOM_PROD60030,DES_PROD60030,3,3,105,2,3659,0,3302,10.82,S,99,126,A
60031,PROD060031,NOM_PROD60031,DES_PROD60031,4,1,128,5,3765,0,3173,18.66,S,121,153,A
60032,PROD060032,NOM_PROD60032,DES_PROD60032,4,1,330,4,3182,0,2809,13.28,S,313,396,I
60033,PROD060033,NOM_PROD60033,DES_PROD60033,4,2,455,3,4529,0,3900,16.13,N,432,546,I
60034,PROD060034,NOM_PROD60034,DES_PROD60034,1,3,210,1,5010,0,4550,10.13,S,199,252,A
60035,PROD060035,NOM_PROD60035,DES_PROD60035,4,1,417,5,5165,0,4332,19.23,S,396,500,I
60036,PROD060036,NOM_PROD60036,DES_PROD60036,1,3,90,2,2865,0,2396,19.59,S,85,108,A
60037,PROD060037,NOM_PROD60037,DES_PROD60037,1,2,223,5,2485,0,2182,13.9,S,211,267,I
60038,PROD060038,NOM_PROD60038,DES_PROD60038,3,2,308,2,2338,0,2066,13.17,S,292,369,A
60039,PROD060039,NOM_PROD60039,DES_PROD60039,3,3,352,1,5325,0,4482,18.83,N,334,422,A
