codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
20001,PROD020001,NOM_PROD20001,DES_PROD20001,1,1,269,2,5181,0,4583,13.07,N,255,322,I
20002,PROD020002,NOM_PROD20002,DES_PROD20002,4,1,167,3,3996,0,3603,10.92,S,158,200,I
20003,PROD020003,NOM_PROD20003,DES_PROD20003,1,1,29,4,2499,0,2242,11.48,N,27,34,I
20004,PROD020004,NOM_PROD20004,DES_PROD20004,3,1,186,1,2266,0,1900,19.27,S,176,223,I
20005,PROD020005,NOM_PROD20005,DES_PROD20005,1,1,344,2,5414,0,4766,13.6,N,326,412,A
20006,PROD020006,NOM_PROD20006,DES_PROD20006,1,2,487,3,3622,0,3193,13.45,N,462,584,A
20007,PROD020007,NOM_PROD20007,DES_PROD20007,4,1,417,3,2332,0,1975,18.1,N,396,500,I
20008,PROD020008,NOM_PROD20008,DES_PROD20008,4,1,162,4,5564,0,4980,11.74,S,153,194,I
20009,PROD020009,NOM_PROD20009,DES_PROD20009,5,3,314,1,4744,0,4102,15.66,N,298,376,A
20010,PROD020010,NOM_PROD20010,DES_PROD20010,3,1,238,5,5471,0,4780,14.46,N,226,285,A
20011,PROD020011,NOM_PROD20011,DES_PROD20011,1,3,408,5,5233,0,4516,15.89,N,387,489,I
20012,PROD020012,NOM_PROD20012,DES_PROD20012,3,3,321,3,5647,0,4784,18.04,N,304,385,I
20013,PROD020013,NOM_PROD20013,DES_PROD20013,2,1,474,2,5810,0,4938,17.66,S,450,568,A
20014,PROD020014,NOM_PROD20014,DES_PROD20014,4,2,213,3,3291,0,2980,10.45,N,202,255,I
20015,PROD020015,NOM_PROD20015,DES_PROD20015,1,2,82,2,5130,0,4506,13.87,S,77,98,I
20016,PROD020016,NOM_PROD20016,DES_PROD20016,4,1,233,1,2628,0,2361,11.31,S,221,279,I
20017,PROD020017,NOM_PROD20017,DES_PROD20017,2,1,230,5,3310,0,2829,17.03,S,218,276,I
20018,PROD020018,NOM_PROD20018,DES_PROD20018,4,3,444,4,4199,0,3785,10.94,S,421,532,A
20019,PROD020019,NOM_PROD20019,DES_PROD20019,2,2,32,4,4715,0,4226,11.59,S,30,38,A
20020,PROD020020,NOM_PROD20020,DES_PROD20020,3,3,57,2,5247,0,4596,14.17,N,54,68,A
20021,PROD020021,NOM_PROD20021,DES_PROD20021,3,1,367,4,3736,0,3227,15.79,S,348,440,A
20022,PROD020022,NOM_PROD20022,DES_PROD20022,5,2,199,2,4896,0,4272,14.61,S,189,238,I
20023,PROD020023,NOM_PROD20023,DES_PROD20023,1,1,410,3,4725,0,4010,17.85,N,389,492,A
20024,PROD020024,NOM_PROD20024,DES_PROD20024,3,3,313,1,3470,0,2964,17.1,S,297,375,A
20025,PROD020025,NOM_PROD20025,DES_PROD20025,2,3,47,2,2278,0,2064,10.4,S,44,56,I
20026,PROD020026,NOM_PROD20026,DES_PROD20026,1,1,194,4,3352,0,2811,19.26,S,184,232,I
20027,PROD020027,NOM_PROD20027,DES_PROD20027,1,2,90,5,5577,0,4797,16.27,N,85,108,I
20028,PROD020028,NOM_PROD20028,DES_PROD20028,1,3,98,5,2603,0,2196,18.56,S,93,117,I
20029,PROD020029,NOM_PROD20029,DES_PROD20029,2,1,163,4,2675,0,2258,18.49,N,154,195,I
20030,PROD020030,NOM_PROD20030,DES_PROD20030,1,3,468,3,4715,0,3944,19.56,N,444,561,I
20031,PROD020031,NOM_PROD20031,DES_PROD20031,3,1,187,1,3320,0,2863,15.98,N,177,224,A
20032,PROD020032,NOM_PROD20032,DES_PROD20032,2,2,356,1,4731,0,3963,19.39,N,338,427,I
20033,PROD020033,NOM_PROD20033,DES_PROD20033,2,3,45,2,5569,0,4984,11.74,S,42,54,A
20034,PROD020034,NOM_PROD20034,DES_PROD20034,4,2,439,2,5004,0,4215,18.73,S,417,526,A
20035,PROD020035,NOM_PROD20035,DES_PROD20035,5,2,477,4,3506,0,2993,17.15,S,453,572,I
20036,PROD020036,NOM_PROD20036,DES_PROD20036,4,2,472,4,3465,0,2985,16.11,S,448,566,I
20037,PROD020037,NOM_PROD20037,DES_PROD20037,2,3,55,2,4940,0,4419,11.81,N,52,66,A
20038,PROD020038,NOM_PROD20038,DES_PROD20038,4,2,186,5,3553,0,3138,13.24,N,176,223,I
20039,PROD020039,NOM_PROD20039,DES_PROD20039,3,3,201,2,3184,0,2666,19.44,S,190,241,I
20040,PROD020040,NOM_PROD20040,DES_PROD20040,3,1,426,4,4174,0,3643,14.59,N,404,511,I
20041,PROD020041,NOM_PROD20041,DES_PROD20041,1,3,187,1,5269,0,4548,15.86,S,177,224,A
20042,PROD020042,NOM_PROD20042,DES_PROD20042,3,2,464,3,5931,0,4949,19.86,N,440,556,I
20043,PROD020043,NOM_PROD20043,DES_PROD20043,4,3,152,2,3448,0,3071,12.28,N,144,182,A
20044,PROD020044,NOM_PROD20044,DES_PROD20044,5,3,188,2,5507,0,4734,16.33,N,178,225,I
20045,PROD020045,NOM_PROD20045,DES_PROD20045,3,1,263,1,2442,0,2136,14.37,S,249,315,A
20046,PROD020046,NOM_PROD20046,DES_PROD20046,4,2,228,4,3806,0,3220,18.21,S,216,273,A
20047,PROD020047,NOM_PROD20047,DES_PROD20047,1,1,164,3,4348,0,3638,19.52,S,155,196,I
20048,PROD020048,NOM_PROD20048,DES_PROD20048,4,2,226,3,2676,0,2378,12.54,N,214,271,I
20049,PROD020049,NOM_PROD20049,DES_PROD20049,1,1,140,3,3855,0,3226,19.5,N,133,168,I
20050,PROD020050,NOM_PROD20050,DES_PROD20050,3,3,20,2,4420,0,3730,18.5,S,19,24,A
20051,PROD020051,NOM_PROD20051,DES_PROD20051,1,2,413,4,3886,0,3307,17.51,N,392,495,I
20052,PROD020052,NOM_PROD20052,DES_PROD20052,2,2,100,3,3908,0,3409,14.64,S,95,120,I
20053,PROD020053,NOM_PROD20053,DES_PROD20053,4,2,466,4,4612,0,3875,19.03,S,442,559,A
20054,PROD020054,NOM_PROD20054,DES_PROD20054,3,1,150,5,4446,0,3963,12.19,S,142,180,A
20055,PROD020055,NOM_PROD20055,DES_PROD20055,1,2,207,3,4188,0,3782,10.74,S,196,248,I
20056,PROD020056,NOM_PROD20056,DES_PROD20056,5,3,89,2,3002,0,2659,12.93,N,84,106,I
20057,PROD020057,NOM_PROD20057,DES_PROD20057,4,3,226,3,4623,0,3870,19.48,S,214,271,I
20058,PROD020058,NOM_PROD20058,DES_PROD20058,4,1,302,5,4639,0,4130,12.34,N,286,362,A
20059,PROD020059,NOM_PROD20059,DES_PROD20059,1,3,467,5,5549,0,4672,18.79,N,443,560,I
20060,PROD020060,NOM_PROD20060,DES_PROD20060,3,3,17,1,4484,0,3879,15.61,N,16,20,A
20061,PROD020061,NOM_PROD20061,DES_PROD20061,1,3,339,1,5665,0,4766,18.88,N,322,406,A
20062,PROD020062,NOM_PROD20062,DES_PROD20062,1,3,214,5,4026,0,3479,15.73,N,203,256,A
20063,PROD020063,NOM_PROD20063,DES_PROD20063,3,2,316,2,4035,0,3613,11.7,N,300,379,A
20064,PROD020064,NOM_PROD20064,DES_PROD20064,1,2,123,2,3494,0,2931,19.24,N,116,147,I
20065,PROD020065,NOM_PROD20065,DES_PROD20065,5,2,232,5,5157,0,4489,14.9,S,220,278,I
20066,PROD020066,NOM_PROD20066,DES_PROD20066,4,2,21,4,4931,0,4300,14.68,N,19,25,A
20067,PROD020067,NOM_PROD20067,DES_PROD20067,4,1,262,1,4274,0,3797,12.57,N,248,314,I
