codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
10001,PROD010001,NOM_PROD10001,DES_PROD10001,5,1,93,3,2723,0,2369,14.96,N,88,111,I
10002,PROD010002,NOM_PROD10002,DES_PROD10002,3,2,423,2,3451,0,2955,16.81,N,401,507,A
10003,PROD010003,NOM_PROD10003,DES_PROD10003,1,2,370,3,4626,0,4168,11.0,N,351,444,I
10004,PROD010004,NOM_PROD10004,DES_PROD10004,2,3,189,3,2538,0,2281,11.3,N,179,226,A
10005,PROD010005,NOM_PROD10005,DES_PROD10005,1,1,312,3,3246,0,2733,18.79,S,296,374,I
10006,PROD010006,NOM_PROD10006,DES_PROD10006,2,1,193,1,4836,0,4167,16.06,S,183,231,A
10007,PROD010007,NOM_PROD10007,DES_PROD10007,5,2,496,4,5206,0,4586,13.52,N,471,595,I
10008,PROD010008,NOM_PROD10008,DES_PROD10008,3,2,389,3,2733,0,2411,13.39,N,369,466,A
10009,PROD010009,NOM_PROD10009,DES_PROD10009,5,1,242,4,4705,0,4052,16.12,N,229,290,A
10010,PROD010010,NOM_PROD10010,DES_PROD10010,5,2,203,4,4474,0,3978,12.47,S,192,243,I
10011,PROD010011,NOM_PROD10011,DES_PROD10011,5,1,243,1,3464,0,3016,14.87,N,230,291,I
10012,PROD010012,NOM_PROD10012,DES_PROD10012,4,3,133,5,3617,0,3029,19.44,S,126,159,I
10013,PROD010013,NOM_PROD10013,DES_PROD10013,3,2,494,5,2999,0,2505,19.74,N,469,592,I
10014,PROD010014,NOM_PROD10014,DES_PROD10014,4,1,369,4,5479,0,4767,14.95,S,350,442,A
10015,PROD010015,NOM_PROD10015,DES_PROD10015,5,3,1,1,4168,0,3715,12.22,N,0,1,I
10016,PROD010016,NOM_PROD10016,DES_PROD10016,1,3,446,2,4779,0,4323,10.55,N,423,535,I
10017,PROD010017,NOM_PROD10017,DES_PROD10017,5,3,451,5,2853,0,2578,10.7,S,428,541,I
