codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
50001,PROD050001,NOM_PROD50001,DES_PROD50001,2,3,80,1,2630,0,2214,18.79,N,76,96,A
50002,PROD050002,NOM_PROD50002,DES_PROD50002,2,1,440,3,4676,0,3905,19.75,N,418,528,I
50003,PROD050003,NOM_PROD50003,DES_PROD50003,4,2,332,1,4046,0,3430,17.98,N,315,398,A
50004,PROD050004,NOM_PROD50004,DES_PROD50004,2,2,343,4,3687,0,3317,11.16,N,325,411,A
50005,PROD050005,NOM_PROD50005,DES_PROD50005,4,2,278,3,2931,0,2489,17.76,S,264,333,I
50006,PROD050006,NOM_PROD50006,DES_PROD50006,2,3,360,4,2196,0,1896,15.83,S,342,432,A
50007,PROD050007,NOM_PROD50007,DES_PROD50007,3,1,403,5,2718,0,2456,10.67,N,382,483,I
50008,PROD050008,NOM_PROD50008,DES_PROD50008,1,1,311,1,3498,0,2916,19.98,N,295,373,I
50009,PROD050009,NOM_PROD50009,DES_PROD50009,4,3,484,2,4704,0,4223,11.4,S,459,580,A
50010,PROD050010,NOM_PROD50010,DES_PROD50010,1,3,255,3,4085,0,3544,15.27,S,242,306,I
50011,PROD050011,NOM_PROD50011,DES_PROD50011,5,1,413,5,4438,0,3975,11.66,S,392,495,I
50012,PROD050012,NOM_PROD50012,DES_PROD50012,5,1,23,3,3410,0,3022,12.84,S,21,27,I
50013,PROD050013,NOM_PROD50013,DES_PROD50013,5,1,65,2,4414,0,3804,16.04,N,61,78,A
50014,PROD050014,NOM_PROD50014,DES_PROD50014,5,2,129,3,3000,0,2615,14.75,S,122,154,A
50015,PROD050015,NOM_PROD50015,DES_PROD50015,3,1,474,5,2432,0,2093,16.2,N,450,568,A
50016,PROD050016,NOM_PROD50016,DES_PROD50016,3,1,96,5,2451,0,2209,10.97,N,91,115,A
50017,PROD050017,NOM_PROD50017,DES_PROD50017,1,3,345,4,5100,0,4277,19.25,N,327,414,I
50018,PROD050018,NOM_PROD50018,DES_PROD50018,2,3,93,3,4810,0,4152,15.87,N,88,111,A
