codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
30001,PROD030001,NOM_PROD30001,DES_PROD30001,2,1,132,2,4352,0,3854,12.94,S,125,158,A
30002,PROD030002,NOM_PROD30002,DES_PROD30002,4,2,129,3,2456,0,2096,17.22,S,122,154,A
30003,PROD030003,NOM_PROD30003,DES_PROD30003,5,1,247,4,5352,0,4598,16.41,N,234,296,A
30004,PROD030004,NOM_PROD30004,DES_PROD30004,2,2,225,2,2449,0,2095,16.9,S,213,270,I
30005,PROD030005,NOM_PROD30005,DES_PROD30005,5,3,196,4,5460,0,4684,16.58,S,186,235,I
30006,PROD030006,NOM_PROD30006,DES_PROD30006,4,3,359,5,3678,0,3212,14.51,N,341,430,I
30007,PROD030007,NOM_PROD30007,DES_PROD30007,4,3,493,4,4805,0,4060,18.35,S,468,591,A
30008,PROD030008,NOM_PROD30008,DES_PROD30008,3,2,344,3,2122,0,1925,10.26,N,326,412,I
30009,PROD030009,NOM_PROD30009,DES_PROD30009,2,3,318,1,3797,0,3270,16.13,N,302,381,I
30010,PROD030010,NOM_PROD30010,DES_PROD30010,4,1,497,4,2512,0,2207,13.83,N,472,596,I
30011,PROD030011,NOM_PROD30011,DES_PROD30011,3,2,498,5,3382,0,2833,19.39,N,473,597,I
30012,PROD030012,NOM_PROD30012,DES_PROD30012,2,1,348,4,4439,0,3742,18.63,N,330,417,I
30013,PROD030013,NOM_PROD30013,DES_PROD30013,5,3,34,4,4588,0,3936,16.57,N,32,40,I
30014,PROD030014,NOM_PROD30014,DES_PROD30014,5,2,471,2,3988,0,3377,18.12,N,447,565,A
30015,PROD030015,NOM_PROD30015,DES_PROD30015,5,1,149,2,3626,0,3209,13.0,N,141,178,A
30016,PROD030016,NOM_PROD30016,DES_PROD30016,4,1,381,5,2607,0,2280,14.38,N,361,457,A
30017,PROD030017,NOM_PROD30017,DES_PROD30017,3,3,31,3,4226,0,3648,15.87,N,29,37,I
30018,PROD030018,NOM_PROD30018,DES_PROD30018,3,2,63,2,3942,0,3472,13.55,S,59,75,I
30019,PROD030019,NOM_PROD30019,DES_PROD30019,5,2,38,4,3837,0,3431,11.86,S,36,45,A
