codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
40001,PROD040001,NOM_PROD40001,DES_PROD40001,1,1,197,5,2241,0,1907,17.52,N,187,236,A
40002,PROD040002,NOM_PROD40002,DES_PROD40002,1,3,432,3,2655,0,2273,16.83,S,410,518,I
40003,PROD040003,NOM_PROD40003,DES_PROD40003,3,3,439,2,2983,0,2588,15.28,S,417,526,A
40004,PROD040004,NOM_PROD40004,DES_PROD40004,2,1,221,4,5270,0,4546,15.93,N,209,265,I
40005,PROD040005,NOM_PROD40005,DES_PROD40005,4,3,183,5,4487,0,4037,11.15,N,173,219,I
40006,PROD040006,NOM_PROD40006,DES_PROD40006,2,1,128,1,5340,0,4776,11.81,N,121,153,A
40007,PROD040007,NOM_PROD40007,DES_PROD40007,3,3,41,5,3914,0,3406,14.93,N,38,49,I
40008,PROD040008,NOM_PROD40008,DES_PROD40008,3,3,221,5,2778,0,2435,14.1,S,209,265,A
40009,PROD040009,NOM_PROD40009,DES_PROD40009,4,3,426,3,3034,0,2622,15.75,N,404,511,A
40010,PROD040010,NOM_PROD40010,DES_PROD40010,1,2,296,1,2988,0,2678,11.59,N,281,355,I
40011,PROD040011,NOM_PROD40011,DES_PROD40011,2,1,94,3,5943,0,4979,19.37,N,89,112,I
40012,PROD040012,NOM_PROD40012,DES_PROD40012,5,1,467,4,4458,0,3759,18.61,S,443,560,I
40013,PROD040013,NOM_PROD40013,DES_PROD40013,2,2,158,5,2828,0,2388,18.46,N,150,189,A
40014,PROD040014,NOM_PROD40014,DES_PROD40014,4,2,105,5,4676,0,3977,17.58,N,99,126,I
40015,PROD040015,NOM_PROD40015,DES_PROD40015,3,2,164,1,3038,0,2547,19.29,S,155,196,I
40016,PROD040016,NOM_PROD40016,DES_PROD40016,3,2,25,2,5322,0,4717,12.83,S,23,30,I
40017,PROD040017,NOM_PROD40017,DES_PROD40017,3,1,308,3,2199,0,1938,13.51,S,292,369,I
40018,PROD040018,NOM_PROD40018,DES_PROD40018,5,3,324,3,4460,0,4012,11.17,S,307,388,I
40019,PROD040019,NOM_PROD40019,DES_PROD40019,2,2,471,2,4113,0,3531,16.51,S,447,565,I
40020,PROD040020,NOM_PROD40020,DES_PROD40020,1,3,84,3,4942,0,4268,15.8,N,79,100,I
40021,PROD040021,NOM_PROD40021,DES_PROD40021,2,2,203,4,3955,0,3582,10.44,S,192,243,A
40022,PROD040022,NOM_PROD40022,DES_PROD40022,5,2,195,1,4931,0,4216,16.98,N,185,234,A
40023,PROD040023,NOM_PROD40023,DES_PROD40023,1,2,224,4,3058,0,2740,11.64,S,212,268,I
